,x
2397,"Brasília, Brasil"
2398,Earth
2399,DC metropolitan area
2400,United States
2401,MS to WIN CITY
2402,Cleveland
2403,"Jackson, CA"
2404,LA
2405,"Dar es salaam, Tanzania"
2406,"Iowa City, Iowa"
2407,"Westminster, CA"
2408,"Washington, D.C."
2410,"Arlington, VA"
2411,San Francisco
2412,Riverside County
2413,"Bangkok, Thailand"
2414,probably rehearsals or church
2415,"Honolulu, HI"
2416,"Baton Rouge, LA"
2417,western NY
2418,"Florida, USA"
2419,"Michigan, USA"
2420,Somewhere in Kansas
2421,"Naples, Florida"
2422,"Binghamton, NY"
2423,"Seattle, WA"
2424,"Evansville, IN"
2425,"Fort Myers, Florida"
2426,"Ithaca, NY"
2427,"Elmira, NY"
2428,the Forgotten Borough
2429,"Indianapolis, IN"
2430,"Kentucky, USA"
2431,"Winteringham, North Lincs"
2432,"Tampa Bay area, FL"
2433,"San Bernardino County, CA"
2434,"Santiago, Chile"
2435,"New Jersey, mostly"
2436,"Jenkintown, PA"
2437,"Bay Area, CA"
2438,California
2439,United States
2441,The Gas
2442,"Atlanta, GA"
2443,New Orleans/Connecticut
2444,Fort Wayne
2445,"Rockwood, TN"
2446,Hogwarts
2447,West suburban Chicago
2448,Quad Cities
2449,planet Earth
2450,"Wilmington, Delaware"
2451,chicagoland
2452,Washington DC metro area
2453,"Minnesota, Minnesota "
2454,"Hoffman Estates, IL"
2455,"Chicago, IL"
2456,Quebec
2457,Everywhere
2458,"Parkville, MO"
2459,"Alexandria, VA"
2460,Don't Touch My Hair
2461,"Fullerton, CA"
2462,"Atlanta, GA"
2463,"Philadelphia, PA"
2464,NJ and some days NYC
2465,Right here
2466,New York City
2467,No Mean City
2469,"Fort Worth, Texas"
2470,the region
2471,"Staunton, Va."
2472,San Antonio Tx
2473,Sin City
2474,"Morris County, New Jersey"
2475,Rio de Janeiro
2476,"Columbus, OH"
2477,"Corpus Christi, TX"
2478,"Miami, FL"
2479,OVA YA MOM CRIB
2480,"Florida, USA"
2481,"abingdon, va"
2482,"Long Island, NY"
2483,"Atlanta, GA"
2484,"Mesquita, RJ"
2487,"Maine, USA"
2488,"Saint Petersburg, FL"
2489,Kristiansand
2490,"St Louis, MO"
2491,"Richmond, BC"
2492,"Atlanta, GA"
2493, Vegas
2494,DETROIT MOTOR CITY
2495,"Little Rock, AR"
2496,Louisiana to Atlanta
2498,"Texas, USA"
